0,1,2,3,4,5,6,7,8,9
세븐럭카지노 강남코엑스점,896,476,952,90,502,773,835,618,407
롯데시네마 누리꿈관,597,784,952,809,428,650,399,1032,751
노리한복,558,969,493,839,509,158,65,140,81
CGV 구로,503,422,463,800,563,437,875,987,116
타요 키즈카페 은평뉴타운점,976,917,502,583,514,977,958,593,453
VR스테이션 - 강남점,427,457,512,421,942,387,989,821,756
Colorant Makeup Studio,405,111,469,151,452,752,79,860,997
유니온볼링장,944,578,747,126,989,443,387,541,941
남산타운문화체육센터,446,828,472,509,839,493,814,969,182
CGV Shinchon Artreon,464,866,488,498,748,925,934,434,418
롯데시네마 영등포,94,497,500,517,506,481,67,510,830
롯데시네마 홍대입구점,103,90,503,563,61,422,437,190,441
브이알존 엑스 - 코엑스 직영점,932,869,971,182,122,1066,839,493,509
CGV 홍대,418,842,542,103,429,67,164,430,417
올가미 이스케이프,877,946,405,956,880,576,79,436,444
오늘도 고양이,479,593,583,977,453,176,554,514,849
난지천공원,1063,1053,760,1054,1001,1041,829,714,1062
룸 익스케이프 - 신촌화이트점,981,861,997,791,992,1106,455,492,988
CGV Gangdong,786,431,787,781,803,804,762,960,473
삐에로 스트라이크,943,975,375,821,74,443,747,205,155
리얼야구존 이태원점,1000,405,874,979,609,1106,997,992,424
메가박스 신촌,943,975,527,421,871,409,1116,501,877
호텔드코드,986,462,179,476,479,958,453,593,977
세븐럭카지노 강북힐튼점,164,422,841,36,994,563,976,479,583
더왜그클럽,986,179,460,176,453,479,514,554,593
CGV 군자점,800,441,754,987,431,514,554,453,977
아트하우스 모모,488,498,431,447,434,781,783,790,789
롯데시네마 용산,483,400,223,490,518,397,58,413,385
이태원어린이공원,867,829,209,709,775,714,798,1110,192
한남볼링센타,765,1122,46,656,941,1070,764,943,842
CGV Daehangno,378,372,373,374,375,376,377,379,370
Cottage Garden Board-game & Crime-scene,469,405,383,444,151,386,387,978,752
Hanbok That Day,378,372,373,374,375,376,377,379,370
한복남 창경궁점,160,882,584,826,601,1058,603,1048,406
용산구문화체육센터,1068,446,828,971,182,869,932,509,839
Seoul International Women's Film Festival,510,473,488,497,498,500,506,517,518
뷰티인사이드,171,289,230,424,169,974,813,97,184
돔골프,378,372,373,374,375,376,377,379,370
브레이크아웃 이스케이프 홍대본점,460,514,583,176,554,479,593,958,977
서화한복,695,408,1048,119,26,858,596,594,342
서촌나들이 한복 경복궁역점,725,865,611,763,184,97,609,881,974
골프존파크 - 행당 레몬스크린점,479,593,583,977,453,176,554,514,849
우이볼링장,513,509,493,839,387,932,578,446,971
롯데시네마 에비뉴엘,948,94,858,695,497,517,417,67,449
투캣츠,952,773,124,11,392,838,37,994,784
플레이즈 라운지,400,465,575,874,687,230,688,223,626
CGV 상암,1111,37,115,417,430,94,392,73,113
브이알존,554,593,453,977,479,958,514,176,583
스타24시 동네볼링장,486,564,578,565,538,972,154,613,457
브이알존 홍대점,355,927,804,960,803,589,606,1042,267
씨네코드 선재,488,464,1056,510,495,473,431,518,434
판타스틱 엠,589,512,737,353,535,978,590,487,967
