id,place,tag_list,count,avg_score,first_tag,second_tag,third_tag,fourth_tag,fifth_tag
14,남대문시장,"['시장', '음식, 식사', '먹다', '싸다, 저렴하다', '쇼핑', '상품', '가격']",559,4.037567084,시장,"음식, 식사",먹다,"싸다, 저렴하다","싸다, 저렴하다"
15,쌈지길,"['쇼핑', '음식, 식사', '공예', '예술', '아이', '재미', '싸다, 저렴하다']",172,3.9476744189999997,쇼핑,"음식, 식사",공예,예술,예술
16,롯데백화점 본점,"['쇼핑', '음식, 식사', '비싸다', '싸다, 저렴하다', '가격', '관광지', '호텔']",159,3.899371069,쇼핑,"음식, 식사",비싸다,"싸다, 저렴하다","싸다, 저렴하다"
17,강남 지하상가,"['쇼핑', '싸다, 저렴하다', '가격', '시장', '음식, 식사', '상품', '구매']",104,3.894230769,쇼핑,"싸다, 저렴하다",가격,시장,시장
18,중부시장,"['시장', '가격', '쇼핑', '음식, 식사', '관광지', '구매', '문화']",21,3.904761905,시장,가격,쇼핑,"음식, 식사","음식, 식사"
19,IFC 몰,"['쇼핑', '음식, 식사', '비싸다', '먹다', '영화', '호텔', '싸다, 저렴하다']",108,4.0,쇼핑,"음식, 식사",비싸다,먹다,먹다
20,동대문 쇼핑몰,"['쇼핑', '싸다, 저렴하다', '가격', '시장', '비싸다', '음식, 식사', '상품']",91,3.681318681,쇼핑,"싸다, 저렴하다",가격,시장,시장
21,동대문 시장,"['쇼핑', '시장', '음식, 식사', '가격', '싸다, 저렴하다', '상품', '먹다']",124,3.782258065,쇼핑,시장,"음식, 식사",가격,가격
22,노량진 수산물 도매시장,"['시장', '음식, 식사', '먹다', '싸다, 저렴하다', '요리', '가격', '구매']",331,3.70694864,시장,"음식, 식사",먹다,"싸다, 저렴하다","싸다, 저렴하다"
23,디큐브시브,"['쇼핑', '음식, 식사', '비싸다', '호텔', '먹다', '영화', '공연']",65,4.230769231,쇼핑,"음식, 식사",비싸다,호텔,호텔
24,삼성 딜라이트,"['재미', '체험', '전시관', '쇼핑', '아이', '관광지', '시장']",65,4.015384615,재미,체험,전시관,쇼핑,쇼핑
25,카카오프렌즈 홍대 플래그십 스토어,"['친구', '상품', '음식, 식사', '아이', '구매', '재미', '싸다, 저렴하다']",21,4.285714286,친구,상품,"음식, 식사",아이,아이
26,고속터미널상가,"['쇼핑', '싸다, 저렴하다', '시장', '가격', '음식, 식사', '상품', '비싸다']",33,4.0,쇼핑,"싸다, 저렴하다",시장,가격,가격
27,신라면세점,"['쇼핑', '관광지', '구매', '비싸다', '상품', '돈', '이벤트']",52,3.673076923,쇼핑,관광지,구매,비싸다,비싸다
28,Unni Tour,"['유적지', '친구']",2,5.0,유적지,친구,Nan,Nan,Nan
29,현대백화점 압구정본점,"['쇼핑', '음식, 식사', '비싸다', '먹다', '돈', '아이', '관광지']",32,4.375,쇼핑,"음식, 식사",비싸다,먹다,먹다
30,커먼그라운드,"['쇼핑', '음식, 식사', '비싸다', '먹다', '싸다, 저렴하다', '가격', '재미']",69,3.6086956519999998,쇼핑,"음식, 식사",비싸다,먹다,먹다
31,압구정 로데오 거리,"['쇼핑', '음식, 식사', '비싸다', '관광지', '먹다', '싸다, 저렴하다', '친구']",37,3.594594595,쇼핑,"음식, 식사",비싸다,관광지,관광지
32,신세계 강남점,"['쇼핑', '음식, 식사', '먹다', '비싸다', '호텔', '아이', '영화']",31,4.161290323,쇼핑,"음식, 식사",먹다,비싸다,비싸다
33,프린세스다이어리 이대점,"['재미', '친구', '호텔', '먹다', '음식, 식사', '구매', '가족']",17,4.823529412,재미,친구,호텔,먹다,먹다
34,경동시장,"['시장', '싸다, 저렴하다', '구매', '가격', '먹다', '재미', '비싸다']",30,4.1,시장,"싸다, 저렴하다",구매,가격,가격
35,라인 프렌즈 플래그십 스토어 가로수길점,"['쇼핑', '상품', '구매', '아이', '음식, 식사', '돈', '친구']",17,4.2352941180000006,쇼핑,상품,구매,아이,아이
